icao,name,hex,source,group,note
PLM,Wamos Air,6FB92C,brand,,logo file https://upload.wikimedia.org/wikipedia/en/2/24/Wamos_Air_logo.svg
POE,Porter Airlines,002B49,livery,,Porter navy and white
QAZ,Qazaq Air,EE3124,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/2/23/Vietjet_Qazaqstan_logo.svg
QFA,Qantas,E40000,simple-icons,,
QTR,Qatar Airways,5C0D34,simple-icons,,
QXE,Horizon Air,01426A,brand,ASA,Alaska Airlines house livery
RAM,Royal Air Maroc,C20831,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/b/bf/Logo_Royal_Air_Maroc.svg
RBA,Royal Brunei Airlines,FFE600,brand,,logo file https://upload.wikimedia.org/wikipedia/en/5/56/Royal_Brunei_Airlines_Logo.svg
RBG,Air Arabia Egypt,ED1B48,brand,ABY,Air Arabia house livery
REU,Air Austral,20294E,brand,,logo file https://upload.wikimedia.org/wikipedia/en/4/45/Air_Austral_logo_%282015%29.svg
RJA,Royal Jordanian,7C2529,livery,,crimson titles
RLK,Air Nelson,000000,livery,ANZ,Air New Zealand house livery
ROT,TAROM,003366,simple-icons,,
ROU,Air Canada Rouge,F01428,simple-icons,ACA,Air Canada house livery
RPA,Republic Airways,00263A,brand,,airline logo on Wikipedia
RPB,Copa Airlines Colombia,0032A0,simple-icons,CMP,Copa Airlines house livery
RUK,Ryanair UK,073590,simple-icons,RYR,Ryanair house livery
RWD,RwandAir,1C4E9D,brand,,logo file https://upload.wikimedia.org/wikipedia/en/6/6e/RwandAir_logo.svg
RWZ,Red Wings Airlines,E62731,brand,,airline logo on Wikipedia
RXA,Rex Airlines,003366,brand,,theme-color on rex.com.au
RXI,Riyadh Air,240852,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/b/b1/Riyadh_Air_Logo.svg
RXP,Royal Air Maroc Express,C20831,brand,RAM,Royal Air Maroc house livery
RYR,Ryanair,073590,simple-icons,,
RYS,Buzz,FCD000,brand,RYR,logo file https://upload.wikimedia.org/wikipedia/en/7/7a/Buzz_%28Ryanair%29_logo.svg
RZO,Azores Airlines,003568,brand,,logo file https://upload.wikimedia.org/wikipedia/en/f/f6/Azores_Airlines_logo.svg
SAA,South African Airways,163683,brand,,logo file https://upload.wikimedia.org/wikipedia/en/7/7c/SAA_logo_%282019%29.svg
SAS,Scandinavian Airlines,0002BE,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/3/33/Scandinavian_Airlines_logo.svg
SAT,SATA Air Açores,003568,brand,,logo file https://upload.wikimedia.org/wikipedia/en/b/b0/SATA_Air_A%C3%A7ores_logo.svg
SBI,S7 Airlines,BED600,brand,,airline logo on Wikipedia
SCX,Sun Country Airlines,F15908,brand,,manifest theme_color on suncountry.com
SDM,Rossiya Airlines,DD052B,brand,,airline logo on Wikipedia
SEH,Sky Express,183A68,brand,,theme-color and manifest on skyexpress.gr
SEJ,SpiceJet,EB1C23,brand,,airline logo on Wikipedia
SEY,Air Seychelles,D93722,brand,,logo file https://upload.wikimedia.org/wikipedia/en/b/b1/Air_Seychelles_logo.svg
SFJ,StarFlyer,1A1A1A,livery,,all-black fuselage
SHT,British Airways Shuttle,2E5C99,simple-icons,BAW,British Airways house livery
SHU,Aurora,002A59,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/2/2e/Aurora_airline_logo.svg
SIA,Singapore Airlines,F99F1C,simple-icons,,
SJV,Super Air Jet,D0A175,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/0/06/Logo_Super_Air_Jet.svg
SJX,Starlux Airlines,1B2A4A,livery,,navy fuselage with gold trim
SKU,Sky Airline,59237F,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/6/65/Sky_Airline_Logo.svg
SKX,Sky Airline Perú,59237F,brand,SKU,Sky Airline house livery
SKY,Skymark Airlines,1E398D,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/4/44/Skymark_Airlines_Logo.svg
SLI,Aeroméxico Connect,0B2343,simple-icons,AMX,Aeroméxico house livery
SLK,SilkAir,009484,brand,SIA,logo file https://upload.wikimedia.org/wikipedia/en/d/d5/SilkAir_Logo.svg
SLM,Surinam Airways,CC1719,brand,,logo file https://upload.wikimedia.org/wikipedia/en/8/8f/Surinam_Airways_Logo.svg
SNJ,Solaseed Air,C5D700,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/3/3e/Solaseed_Air_logo.svg
SOL,Solomon Airlines,212061,brand,,logo file https://upload.wikimedia.org/wikipedia/en/9/9d/Solomon_Airlines_Logo.svg
SQC,Singapore Airlines Cargo,F99F1C,simple-icons,SIA,Singapore Airlines house livery
SQP,SkyUp Airlines,005CB2,brand,,--primary custom property on skyup.aero
SRQ,Cebgo,2574BB,brand,CEB,Cebu Pacific house livery
SRR,Maersk Air Cargo,42B0D5,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/e/e6/Maersk_Group_Logo.svg
SRU,Star Perú,DAA228,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/a/af/Star_Per%C3%BA_logo.svg
SSQ,Sunstate Airlines,E40000,simple-icons,QFA,Qantas house livery
STK,Stobart Air,006472,brand,EIN,Aer Lingus house livery
STP,STP Airways,019901,brand,,logo file https://upload.wikimedia.org/wikipedia/en/8/8b/STP_Airways_logo.svg
STW,Southwind Airlines,BE1E2D,brand,,airline logo on Wikipedia
SUD,Sudan Airways,013B82,brand,,--primary custom property on sudanair.com
SVA,Saudia,026938,simple-icons,,
SVR,Ural Airlines,BA0C2F,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/0/04/Logo_of_the_Ural_Airlines.svg
SVS,SAS Link,0002BE,brand,SAS,Scandinavian Airlines house livery
SWA,Southwest Airlines,304CB2,simple-icons,,
SWR,Swiss International Air Lines,E60005,brand,DLH,logo file https://upload.wikimedia.org/wikipedia/commons/f/f8/Swiss_International_Air_Lines_Logo_2011.svg
SXD,SunExpress Deutschland,1A428A,brand,SXS,SunExpress house livery
SXS,SunExpress,1A428A,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/d/d9/SunExpress_Logo.svg
SYR,Syrian Air,172983,brand,,logo file https://upload.wikimedia.org/wikipedia/en/b/b8/SyrianAir_logo.svg
SZN,Air Senegal,D41219,brand,,logo file https://upload.wikimedia.org/wikipedia/en/0/01/Air_Senegal_Logo.svg
SZS,SAS Connect,0002BE,brand,SAS,Scandinavian Airlines house livery
TAI,Avianca El Salvador,FF0000,brand,AVA,Avianca house livery
TAM,LATAM Brasil,2A0088,livery,LAN,LATAM Airlines house livery
TAP,TAP Air Portugal,009639,livery,,TAP green on the tail and titles
TAR,Tunisair,D40000,brand,,logo file https://upload.wikimedia.org/wikipedia/en/9/97/Tunisair_logo.svg
TAX,Thai AirAsia X,FF0000,simple-icons,AXM,AirAsia house livery
TAY,ASL Airlines Belgium,054C91,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/e/e8/ASL_Airlines_Belgium_Logo.svg
TFL,TUI fly Netherlands,E41917,brand,TUI,TUI fly Deutschland house livery
TGW,Scoot,FFE900,brand,SIA,logo file https://upload.wikimedia.org/wikipedia/commons/b/ba/Scoot_logo.svg
TGZ,Georgian Airways,EB1F37,brand,,logo file https://upload.wikimedia.org/wikipedia/en/4/40/Georgian_Airways_logo.svg
THA,Thai Airways International,6F2C91,livery,,Thai purple tail with gold
THD,Thai Smile,6F2C91,livery,THA,Thai Airways International house livery
THT,Air Tahiti Nui,003565,brand,,mask-icon on airtahitinui.com
THY,Turkish Airlines,C70A0C,simple-icons,,
TKJ,AJet,008FDA,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/3/38/AJet_logo.svg
TLM,Thai Lion Air,FB0102,brand,LNI,Lion Air house livery
TNO,Avianca Cargo México,FF0000,brand,AVA,Avianca house livery
TOM,TUI Airways,E41917,brand,TUI,TUI fly Deutschland house livery
TPA,Avianca Cargo,FF0000,brand,AVA,Avianca house livery
TPU,Avianca Perú,FF0000,brand,AVA,Avianca house livery
TRA,Transavia,05CE78,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/c/cf/Transavia_2025_logo.svg
TSC,Air Transat,172B54,simple-icons,,
TTW,Tigerair Taiwan,F6A021,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/f/fa/Tigerair_Taiwan_logo.svg
TUA,Turkmenistan Airlines,008542,livery,,green tail
TUI,TUI fly Deutschland,E41917,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/a/a6/TUIfly_Logo_2016.svg
TUX,Tunisair Express,D40000,brand,TAR,Tunisair house livery
TVF,Transavia France,05CE78,brand,TRA,Transavia house livery
TVJ,Thai VietJet Air,FF0000,brand,VJC,VietJet Air house livery
TVL,Smartwings Hungary,004289,brand,TVS,Smartwings house livery
TVP,Smartwings Poland,004289,brand,TVS,Smartwings house livery
TVQ,Smartwings Slovakia,004289,brand,TVS,Smartwings house livery
TVS,Smartwings,004289,brand,,airline logo on Wikipedia
UAE,Emirates,D71921,simple-icons,,
UAL,United Airlines,002244,simple-icons,,
UGD,Uganda Airlines,E91D26,brand,,logo file https://upload.wikimedia.org/wikipedia/en/b/b0/Uganda_Airlines_2019_Logo.svg
UPS,UPS Airlines,644117,livery,,UPS brown
UTA,Utair,003594,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/b/b5/Utair_logo_gradient.svg
UZB,Uzbekistan Airways,254A88,brand,,theme-color on uzairways.com
VBW,Air Burkina,0FAB4B,brand,,logo file https://upload.wikimedia.org/wikipedia/en/1/16/Air_Burkina_logo.svg
VCV,Conviasa,EC6A18,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/d/d7/Conviasa_Logo.svg
VDA,Volga-Dnepr Airlines,004A95,brand,,logo file https://upload.wikimedia.org/wikipedia/en/0/06/Volga-Dnepr_Airlines_logo.svg
VIR,Virgin Atlantic,DA0530,simple-icons,,
VIV,Viva Aerobus,00AE44,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/1/1f/Viva_Logo.svg
VJC,VietJet Air,FF0000,brand,,manifest theme_color on vietjetair.com
VKG,Sunclass Airlines,FE8C00,brand,,theme-color on sunclassairlines.dk
VLG,Vueling,FFCC00,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/b/b8/Logo_Vueling.svg
VOE,Volotea,5B2D8E,livery,,Volotea purple wordmark
VOI,Volaris,6B2C91,livery,,Volaris purple
VOS,Volaris El Salvador,6B2C91,livery,VOI,Volaris house livery
VOZ,Virgin Australia,E10A0A,simple-icons,,
VRE,Air Côte d'Ivoire,E77A31,brand,,logo file https://upload.wikimedia.org/wikipedia/en/5/51/Air_C%C3%B4te_d%27Ivoire_logo.svg
VTA,Air Tahiti,E20025,brand,,logo file https://upload.wikimedia.org/wikipedia/en/b/b9/Air_Tahiti_logo.svg
VTI,Vistara,511D4B,brand,AIC,logo file https://upload.wikimedia.org/wikipedia/en/b/bd/Vistara_Logo.svg
WEN,WestJet Encore,00467F,brand,WJA,WestJet house livery
WIA,Winair,B81D23,brand,,theme-color and manifest on fly-winair.sx
WIF,Widerøe,00482D,brand,,logo file https://upload.wikimedia.org/wikipedia/en/b/b7/Wideroe_logo.svg
WJA,WestJet,00467F,brand,,logo file https://upload.wikimedia.org/wikipedia/commons/1/16/WestJetLogo2018.svg
WMT,Wizz Air Malta,C6007E,simple-icons,WZZ,Wizz Air house livery
WON,Wings Air,FB0102,brand,LNI,Lion Air house livery
WUK,Wizz Air UK,C6007E,simple-icons,WZZ,Wizz Air house livery
WWP,Wingo,62358B,brand,,logo file https://upload.wikimedia.org/wikipedia/en/4/4e/Wingo_Logo.svg
WZZ,Wizz Air,C6007E,simple-icons,,
XAX,AirAsia X,FF0000,simple-icons,AXM,AirAsia house livery
